account,date,engagement,tagged_with_tradwife,log_engagement
landladyadaogidi,2023-01-03 20:00:04,19,1,2.995732273553991
moe.makes.magick,2023-01-03 22:08:11,382,0,5.948034989180646
littlehouseonthepasture,2023-01-03 23:41:42,96,1,4.574710978503383
landladyadaogidi,2023-01-04 00:29:41,25,1,3.258096538021482
landladyadaogidi,2023-01-04 00:38:45,24,1,3.2188758248682006
landladyadaogidi,2023-01-04 01:10:36,17,1,2.8903717578961645
thymeandtenderness,2023-01-04 02:31:40,83,0,4.430816798843313
maman__sereine,2023-01-04 10:20:13,288,0,5.666426688112432
maman__sereine,2023-01-04 10:31:11,42,0,3.7612001156935624
fama_kente,2023-01-04 12:45:58,61,1,4.127134385045092
maman__sereine,2023-01-04 14:03:03,12,0,2.5649493574615367
locdthugga,2023-01-04 14:31:44,23,0,3.1780538303479458
littlehouseonthepasture,2023-01-04 14:33:44,65,1,4.189654742026425
landladyadaogidi,2023-01-04 15:45:37,19,0,2.995732273553991
landladyadaogidi,2023-01-04 15:56:47,22,0,3.1354942159291497
maman__sereine,2023-01-04 16:23:58,1517,0,7.325148957955575
thecortesclan,2023-01-04 16:32:59,124,0,4.8283137373023015
thymeandtenderness,2023-01-04 17:52:18,406,0,6.008813185442595
thymeandtenderness,2023-01-04 19:27:06,508,0,6.2324480165505225
lifetaketwo,2023-01-04 19:36:43,72,0,4.290459441148391
lifetaketwo,2023-01-04 19:47:49,77,0,4.356708826689592
lifetaketwo,2023-01-04 20:21:54,130,0,4.875197323201151
mrs.blancarte,2023-01-04 21:15:19,10,0,2.3978952727983707
zmeweddings,2023-01-05 00:38:33,3,0,1.3862943611198906
thymeandtenderness,2023-01-05 02:21:12,646,0,6.472346294500901
littlehouseonthepasture,2023-01-05 04:38:21,216,0,5.37989735354046
maman__sereine,2023-01-05 07:34:26,423,0,6.049733455231958
maman__sereine,2023-01-05 07:36:44,22,0,3.1354942159291497
locdthugga,2023-01-05 07:57:54,50,0,3.9318256327243257
maman__sereine,2023-01-05 08:06:51,21,0,3.091042453358316
maman__sereine,2023-01-05 08:17:10,37,0,3.6375861597263857
fama_kente,2023-01-05 08:48:19,24,1,3.2188758248682006
maman__sereine,2023-01-05 13:24:17,274,0,5.616771097666572
fama_kente,2023-01-05 13:31:50,43,1,3.784189633918261
thymeandtenderness,2023-01-05 13:57:46,123,0,4.820281565605037
thecortesclan,2023-01-05 15:34:59,558,0,6.326149473155099
lifetaketwo,2023-01-05 18:50:13,88,0,4.48863636973214
landladyadaogidi,2023-01-05 20:42:17,55,1,4.02535169073515
littlehouseonthepasture,2023-01-05 20:44:45,122,1,4.812184355372417
maman__sereine,2023-01-06 07:35:28,626,0,6.440946540632921
maman__sereine,2023-01-06 07:59:23,927,0,6.833031732786201
stephies_kente_parlour,2023-01-06 13:17:33,10,0,2.3978952727983707
thecortesclan,2023-01-06 13:48:58,529,0,6.272877006546167
lifetaketwo,2023-01-06 15:14:12,347,0,5.8522024797744745
lifetaketwo,2023-01-06 15:22:16,197,0,5.288267030694535
fama_kente,2023-01-06 15:25:58,62,1,4.143134726391533
moe.makes.magick,2023-01-06 17:27:46,1743,0,7.463936604468925
mrs.blancarte,2023-01-06 17:50:04,14,0,2.70805020110221
mrs.blancarte,2023-01-06 21:01:58,11,0,2.4849066497880004
littlehouseonthepasture,2023-01-06 22:24:42,152,1,5.030437921392435
littlehouseonthepasture,2023-01-06 22:45:59,768,1,6.645090969505644
moe.makes.magick,2023-01-06 23:31:38,1916,0,7.558516743045645
thymeandtenderness,2023-01-07 00:08:55,93,0,4.543294782270004
thymeandtenderness,2023-01-07 00:21:18,2032,0,7.617267813628347
littlehouseonthepasture,2023-01-07 05:56:46,96,0,4.574710978503383
thekinkerbelle007,2023-01-07 09:07:58,57,0,4.060443010546419
maman__sereine,2023-01-07 09:38:51,3178,0,8.064321960910803
landladyadaogidi,2023-01-07 10:18:04,114,0,4.74493212836325
landladyadaogidi,2023-01-07 11:31:14,97,0,4.584967478670572
maman__sereine,2023-01-07 11:32:17,45,0,3.828641396489095
landladyadaogidi,2023-01-07 11:41:28,107,0,4.68213122712422
fama_kente,2023-01-07 14:46:43,493,1,6.202535517187923
lifetaketwo,2023-01-07 15:07:08,845,0,6.740519359606223
thymeandtenderness,2023-01-07 15:42:40,41,0,3.7376696182833684
landladyadaogidi,2023-01-07 15:57:17,44,1,3.8066624897703196
landladyadaogidi,2023-01-07 16:20:58,143,1,4.969813299576001
landladyadaogidi,2023-01-07 16:49:52,184,1,5.220355825078324
zmeweddings,2023-01-07 18:24:28,9,0,2.302585092994046
maman__sereine,2023-01-07 19:03:58,47,0,3.871201010907891
thymeandtenderness,2023-01-07 19:12:58,147,0,4.997212273764115
moe.makes.magick,2023-01-07 20:00:13,2273,0,7.729295674310482
landladyadaogidi,2023-01-07 20:08:50,174,1,5.1647859739235145
landladyadaogidi,2023-01-07 21:55:16,9,0,2.302585092994046
thymeandtenderness,2023-01-07 22:57:13,909,0,6.813444599510896
locdthugga,2023-01-08 01:09:36,17,0,2.8903717578961645
landladyadaogidi,2023-01-08 01:18:19,31,1,3.4657359027997265
landladyadaogidi,2023-01-08 01:25:38,32,1,3.4965075614664802
littlehouseonthepasture,2023-01-08 03:45:27,271,1,5.605802066295998
maman__sereine,2023-01-08 07:21:00,715,0,6.573680166960646
maman__sereine,2023-01-08 08:36:59,799,0,6.684611727667927
maman__sereine,2023-01-08 09:58:03,218,0,5.389071729816501
maman__sereine,2023-01-08 10:15:10,51,0,3.9512437185814275
landladyadaogidi,2023-01-08 10:29:01,15,1,2.772588722239781
maman__sereine,2023-01-08 11:02:01,120,0,4.795790545596741
maman__sereine,2023-01-08 15:05:39,109,0,4.700480365792417
lifetaketwo,2023-01-08 17:15:06,325,0,5.786897381366708
littlehouseonthepasture,2023-01-08 17:29:12,311,1,5.7430031878094825
lifetaketwo,2023-01-08 17:43:30,140,0,4.948759890378168
littlehouseonthepasture,2023-01-08 18:10:46,208,0,5.342334251964811
littlehouseonthepasture,2023-01-08 19:05:37,255,1,5.545177444479562
littlehouseonthepasture,2023-01-08 19:28:35,570,1,6.3473892096560105
maman__sereine,2023-01-08 20:03:10,65,0,4.189654742026425
maman__sereine,2023-01-08 20:12:20,30,0,3.4339872044851463
littlehouseonthepasture,2023-01-08 20:28:27,196,1,5.2832037287379885
lifetaketwo,2023-01-08 22:03:37,249,0,5.521460917862246
btokbeauty2,2023-01-08 22:54:55,62,0,4.143134726391533
thymeandtenderness,2023-01-08 23:12:38,617,0,6.42648845745769
thymeandtenderness,2023-01-09 01:16:12,469,0,6.152732694704104
thekinkerbelle007,2023-01-09 02:36:34,49,0,3.912023005428146
thekinkerbelle007,2023-01-09 03:12:30,22,0,3.1354942159291497
maman__sereine,2023-01-09 07:06:53,71,0,4.276666119016055
maman__sereine,2023-01-09 07:20:40,230,0,5.442417710521793
maman__sereine,2023-01-09 09:00:38,6,0,1.9459101490553132
maman__sereine,2023-01-09 09:38:11,174,0,5.1647859739235145
maman__sereine,2023-01-09 09:49:25,11,0,2.4849066497880004
maman__sereine,2023-01-09 12:22:32,503,0,6.222576268071369
landladyadaogidi,2023-01-09 12:35:36,21,1,3.091042453358316
landladyadaogidi,2023-01-09 13:13:58,17,1,2.8903717578961645
fama_kente,2023-01-09 13:30:36,95,1,4.564348191467836
landladyadaogidi,2023-01-09 13:31:03,14,1,2.70805020110221
lifetaketwo,2023-01-09 13:57:59,95,0,4.564348191467836
lifetaketwo,2023-01-09 14:04:36,1091,0,6.9957661563048505
landladyadaogidi,2023-01-09 14:24:55,92,0,4.532599493153256
thecortesclan,2023-01-09 14:32:17,265,0,5.583496308781699
lifetaketwo,2023-01-09 14:50:26,306,0,5.726847747587197
zmeweddings,2023-01-09 15:57:32,13,0,2.6390573296152584
myllagh,2023-01-09 16:27:21,825,0,6.716594773520978
thymeandtenderness,2023-01-09 18:01:39,107,0,4.68213122712422
landladyadaogidi,2023-01-09 18:04:49,22,0,3.1354942159291497
littlehouseonthepasture,2023-01-09 20:23:06,174,0,5.1647859739235145
littlehouseonthepasture,2023-01-09 21:28:43,87,0,4.477336814478207
lifetaketwo,2023-01-09 23:04:08,402,0,5.998936561946683
thymeandtenderness,2023-01-09 23:57:17,275,1,5.62040086571715
stayzontopp,2023-01-10 00:00:24,93,0,4.543294782270004
littlehouseonthepasture,2023-01-10 03:58:07,35,0,3.58351893845611
fama_kente,2023-01-10 11:06:46,14,1,2.70805020110221
landladyadaogidi,2023-01-10 15:09:19,14,1,2.70805020110221
maman__sereine,2023-01-10 15:29:24,734,0,6.5998704992128365
maman__sereine,2023-01-10 15:56:57,33,0,3.5263605246161616
maman__sereine,2023-01-10 16:08:02,40,0,3.713572066704308
landladyadaogidi,2023-01-10 16:31:01,249,1,5.521460917862246
thecortesclan,2023-01-10 16:47:31,190,0,5.25227342804663
lifetaketwo,2023-01-10 17:07:16,739,0,6.606650186198215
thymeandtenderness,2023-01-10 17:35:57,639,0,6.461468176353717
littlehouseonthepasture,2023-01-10 20:01:36,178,0,5.187385805840755
mrs.blancarte,2023-01-11 00:38:12,22,0,3.1354942159291497
littlehouseonthepasture,2023-01-11 00:39:19,97,0,4.584967478670572
maman__sereine,2023-01-11 10:25:13,119,0,4.787491742782046
maman__sereine,2023-01-11 10:34:40,122,0,4.812184355372417
fama_kente,2023-01-11 11:10:58,27,1,3.332204510175204
nikkyevent,2023-01-11 11:11:34,63,0,4.1588830833596715
maman__sereine,2023-01-11 11:18:58,115,0,4.7535901911063645
nikkyevent,2023-01-11 11:24:50,135,0,4.912654885736052
maman__sereine,2023-01-11 11:31:20,2908,0,7.975564658495202
nikkyevent,2023-01-11 11:33:21,79,0,4.382026634673881
landladyadaogidi,2023-01-11 11:48:52,14325,1,9.569831347174397
maman__sereine,2023-01-11 12:01:28,42,0,3.7612001156935624
maman__sereine,2023-01-11 16:35:00,156,0,5.056245805348308
littlehouseonthepasture,2023-01-11 17:00:38,316,1,5.75890177387728
thymeandtenderness,2023-01-11 17:37:34,518,0,6.251903883165888
mrs.blancarte,2023-01-11 18:59:55,12,0,2.5649493574615367
thymeandtenderness,2023-01-11 20:16:36,57,0,4.060443010546419
thymeandtenderness,2023-01-11 22:26:03,780,0,6.660575149839686
littlehouseonthepasture,2023-01-12 00:43:58,226,1,5.424950017481403
locdthugga,2023-01-12 01:24:56,8,0,2.1972245773362196
maman__sereine,2023-01-12 09:12:35,54,0,4.007333185232471
landladyadaogidi,2023-01-12 11:31:09,17,1,2.8903717578961645
stephies_kente_parlour,2023-01-12 14:42:50,6,1,1.9459101490553132
maman__sereine,2023-01-12 14:54:55,97,0,4.584967478670572
thecortesclan,2023-01-12 15:41:01,102,0,4.634728988229636
maman__sereine,2023-01-12 17:10:08,4695,0,8.454466361507933
maman__sereine,2023-01-12 17:16:35,226,0,5.424950017481403
thymeandtenderness,2023-01-12 17:23:26,212,0,5.3612921657094255
littlehouseonthepasture,2023-01-12 19:33:43,901,1,6.804614520062624
thymeandtenderness,2023-01-12 19:53:13,57,0,4.060443010546419
lifetaketwo,2023-01-12 20:08:56,345,0,5.846438775057725
stephies_kente_parlour,2023-01-12 20:18:37,10,1,2.3978952727983707
landladyadaogidi,2023-01-12 21:20:36,242,1,5.493061443340548
landladyadaogidi,2023-01-12 21:24:31,75,1,4.330733340286331
thekinkerbelle007,2023-01-12 21:44:41,302,0,5.713732805509369
locdthugga,2023-01-12 23:35:56,10,0,2.3978952727983707
locdthugga,2023-01-12 23:37:06,42,0,3.7612001156935624
littlehouseonthepasture,2023-01-13 05:25:30,171,1,5.147494476813453
thekinkerbelle007,2023-01-13 07:17:45,297,0,5.697093486505405
maman__sereine,2023-01-13 10:05:35,968,0,6.876264611890766
maman__sereine,2023-01-13 10:13:44,10,0,2.3978952727983707
maman__sereine,2023-01-13 11:24:51,310,0,5.739792912179234
stayzontopp,2023-01-13 13:23:05,79,0,4.382026634673881
littlehouseonthepasture,2023-01-13 13:49:47,78,1,4.3694478524670215
littlehouseonthepasture,2023-01-13 14:11:53,42,1,3.7612001156935624
lifetaketwo,2023-01-13 14:13:47,291,0,5.676753802268282
lifetaketwo,2023-01-13 15:10:51,540,0,6.293419278846481
thymeandtenderness,2023-01-13 16:18:05,67,0,4.219507705176107
maman__sereine,2023-01-13 16:40:55,16,0,2.833213344056216
maman__sereine,2023-01-13 16:59:39,53,0,3.9889840465642745
thecortesclan,2023-01-13 17:07:54,235,0,5.4638318050256105
thatjoyfilledhome,2023-01-13 18:33:08,113,0,4.736198448394496
lifetaketwo,2023-01-13 21:53:18,1679,0,7.426549072397305
littlehouseonthepasture,2023-01-14 03:34:03,57,1,4.060443010546419
littlehouseonthepasture,2023-01-14 03:41:51,162,1,5.093750200806762
maman__sereine,2023-01-14 07:32:48,123,0,4.820281565605037
fama_kente,2023-01-14 14:11:18,64,1,4.174387269895637
zmeweddings,2023-01-14 16:55:10,20,0,3.044522437723423
littlehouseonthepasture,2023-01-14 17:23:37,112,0,4.727387818712341
thymeandtenderness,2023-01-14 18:18:51,131,0,4.882801922586371
littlehouseonthepasture,2023-01-14 19:35:16,40,0,3.713572066704308
landladyadaogidi,2023-01-14 21:27:13,90,0,4.51085950651685
thymeandtenderness,2023-01-15 00:04:36,139,0,4.941642422609304
locdthugga,2023-01-15 01:15:10,21,0,3.091042453358316
thymeandtenderness,2023-01-15 02:58:11,76,0,4.343805421853684
maman__sereine,2023-01-15 07:51:42,84,0,4.442651256490317
maman__sereine,2023-01-15 08:08:25,58,0,4.07753744390572
maman__sereine,2023-01-15 08:17:57,490,0,6.19644412779452
maman__sereine,2023-01-15 08:33:58,7,0,2.0794415416798357
myllagh,2023-01-15 12:42:19,199,0,5.298317366548036
2bebetterpodcast,2023-01-15 13:05:10,388,0,5.963579343618446
maman__sereine,2023-01-15 16:17:00,34,0,3.5553480614894135
thymeandtenderness,2023-01-15 19:23:58,166,0,5.117993812416755
lifetaketwo,2023-01-15 19:56:33,220,0,5.3981627015177525
littlehouseonthepasture,2023-01-15 20:20:46,115,1,4.7535901911063645
landladyadaogidi,2023-01-15 20:43:29,22,1,3.1354942159291497
locdthugga,2023-01-15 22:10:36,13,0,2.6390573296152584
littlehouseonthepasture,2023-01-15 22:58:09,93,1,4.543294782270004
landladyadaogidi,2023-01-16 00:10:00,1020,1,6.928537818164665
landladyadaogidi,2023-01-16 00:32:24,81,1,4.406719247264253
landladyadaogidi,2023-01-16 00:32:57,158,1,5.0689042022202315
landladyadaogidi,2023-01-16 00:50:08,607,1,6.410174881966167
lifetaketwo,2023-01-16 01:47:52,614,0,6.421622267806518
thecortesclan,2023-01-16 02:07:13,214,0,5.3706380281276624
locdthugga,2023-01-16 02:14:37,24,0,3.2188758248682006
maman__sereine,2023-01-16 08:12:24,35,0,3.58351893845611
maman__sereine,2023-01-16 08:59:51,70,0,4.2626798770413155
maman__sereine,2023-01-16 09:34:36,308,0,5.733341276897746
thatjoyfilledhome,2023-01-16 14:31:32,111,0,4.718498871295094
thatjoyfilledhome,2023-01-16 14:32:46,60,0,4.110873864173311
thatjoyfilledhome,2023-01-16 14:33:17,72,0,4.290459441148391
thymeandtenderness,2023-01-16 15:24:28,43,0,3.784189633918261
littlehouseonthepasture,2023-01-16 15:33:23,146,1,4.990432586778736
thymeandtenderness,2023-01-16 17:25:59,279,0,5.634789603169249
thymeandtenderness,2023-01-16 19:48:31,392,0,5.973809611869261
maman__sereine,2023-01-16 20:23:28,25,0,3.258096538021482
thymeandtenderness,2023-01-16 21:36:50,735,0,6.601230118728877
thymeandtenderness,2023-01-16 22:17:02,64,0,4.174387269895637
littlehouseonthepasture,2023-01-16 23:10:16,137,1,4.927253685157205
maman__sereine,2023-01-17 10:04:52,35,0,3.58351893845611
maman__sereine,2023-01-17 10:58:36,108,0,4.6913478822291435
maman__sereine,2023-01-17 11:20:36,15,0,2.772588722239781
thecortesclan,2023-01-17 13:40:19,137,0,4.927253685157205
maman__sereine,2023-01-17 15:44:53,48,0,3.8918202981106265
littlehouseonthepasture,2023-01-17 16:03:13,150,0,5.017279836814924
mrs.blancarte,2023-01-17 16:07:37,8,0,2.1972245773362196
thekinkerbelle007,2023-01-17 16:20:46,53,0,3.9889840465642745
thekinkerbelle007,2023-01-17 16:25:58,48,0,3.8918202981106265
thekinkerbelle007,2023-01-17 16:36:06,28,0,3.367295829986474
thymeandtenderness,2023-01-17 16:57:18,263,0,5.575949103146316
emergingmotherhood,2023-01-17 17:14:39,493,0,6.202535517187923
thymeandtenderness,2023-01-17 17:29:47,2101,0,7.650644551436897
lifetaketwo,2023-01-17 17:40:52,349,0,5.857933154483459
emergingmotherhood,2023-01-17 18:38:37,177,0,5.181783550292085
thecortesclan,2023-01-17 22:38:36,115,0,4.7535901911063645
littlehouseonthepasture,2023-01-17 23:13:22,1329,0,7.1929342212158
thekinkerbelle007,2023-01-18 00:32:22,46,0,3.8501476017100584
thekinkerbelle007,2023-01-18 00:42:17,64,0,4.174387269895637
littlehouseonthepasture,2023-01-18 04:52:59,203,1,5.318119993844216
maman__sereine,2023-01-18 10:24:04,104,0,4.653960350157523
maman__sereine,2023-01-18 11:01:49,19,0,2.995732273553991
maman__sereine,2023-01-18 11:25:01,252,0,5.53338948872752
maman__sereine,2023-01-18 11:53:28,1005,0,6.913737350659685
maman__sereine,2023-01-18 12:12:29,877,0,6.777646593635117
landladyadaogidi,2023-01-18 12:13:18,220,1,5.3981627015177525
maman__sereine,2023-01-18 14:07:03,38,0,3.6635616461296463
stayzontopp,2023-01-18 16:12:14,109,0,4.700480365792417
littlehouseonthepasture,2023-01-18 16:50:16,166,1,5.117993812416755
thymeandtenderness,2023-01-18 17:07:24,252,0,5.53338948872752
landladyadaogidi,2023-01-18 18:01:04,107,1,4.68213122712422
mrs.blancarte,2023-01-18 19:19:22,107,0,4.68213122712422
littlehouseonthepasture,2023-01-18 20:32:04,294,0,5.68697535633982
thymeandtenderness,2023-01-18 20:38:23,114,0,4.74493212836325
thecortesclan,2023-01-18 21:20:10,82,0,4.418840607796598
thymeandtenderness,2023-01-18 21:26:29,194,0,5.272999558563747
locdthugga,2023-01-19 00:07:59,55,0,4.02535169073515
thekinkerbelle007,2023-01-19 04:32:08,29,0,3.4011973816621555
maman__sereine,2023-01-19 07:47:46,69,0,4.248495242049359
maman__sereine,2023-01-19 07:57:02,136,0,4.919980925828125
maman__sereine,2023-01-19 08:01:02,162,0,5.093750200806762
maman__sereine,2023-01-19 09:32:02,22,0,3.1354942159291497
maman__sereine,2023-01-19 09:53:29,36,0,3.6109179126442243
maman__sereine,2023-01-19 10:02:32,14,0,2.70805020110221
locdthugga,2023-01-19 12:15:29,43,0,3.784189633918261
lifetaketwo,2023-01-19 15:04:01,16955,0,9.738377032472528
thymeandtenderness,2023-01-19 17:24:27,29,0,3.4011973816621555
btokbeauty2,2023-01-19 17:51:40,9,0,2.302585092994046
littlehouseonthepasture,2023-01-19 18:00:35,48,0,3.8918202981106265
thymeandtenderness,2023-01-19 19:26:39,93,0,4.543294782270004
thymeandtenderness,2023-01-19 20:00:01,381,0,5.945420608606575
littlehouseonthepasture,2023-01-19 20:41:38,105,1,4.663439094112067
landladyadaogidi,2023-01-19 21:14:27,20,0,3.044522437723423
littlehouseonthepasture,2023-01-19 21:17:01,170,1,5.14166355650266
lifetaketwo,2023-01-19 22:40:46,2056,0,7.6290038896529575
landladyadaogidi,2023-01-19 23:57:31,12,0,2.5649493574615367
thekinkerbelle007,2023-01-20 00:31:44,62,0,4.143134726391533
mrs.blancarte,2023-01-20 00:40:56,18,0,2.9444389791664403
thekinkerbelle007,2023-01-20 00:55:33,83,0,4.430816798843313
aberrywonderfullife,2023-01-20 00:55:56,196,1,5.2832037287379885
locdthugga,2023-01-20 01:38:03,45,0,3.828641396489095
thekinkerbelle007,2023-01-20 01:50:12,62,0,4.143134726391533
lifetaketwo,2023-01-20 01:58:36,628,0,6.444131256700441
littlehouseonthepasture,2023-01-20 02:31:09,42,0,3.7612001156935624
maman__sereine,2023-01-20 08:28:28,8,0,2.1972245773362196
maman__sereine,2023-01-20 08:31:58,9,0,2.302585092994046
maman__sereine,2023-01-20 08:35:16,230,0,5.442417710521793
maman__sereine,2023-01-20 08:42:39,62,0,4.143134726391533
maman__sereine,2023-01-20 08:50:42,13,0,2.6390573296152584
maman__sereine,2023-01-20 09:15:34,240,0,5.484796933490655
landladyadaogidi,2023-01-20 09:46:30,6,1,1.9459101490553132
maman__sereine,2023-01-20 11:15:45,135,0,4.912654885736052
thecortesclan,2023-01-20 13:54:39,401,0,5.996452088619021
locdthugga,2023-01-20 14:41:17,60,0,4.110873864173311
thymeandtenderness,2023-01-20 15:46:20,162,0,5.093750200806762
lifetaketwo,2023-01-20 17:11:21,1254,0,7.134890851565884
lifetaketwo,2023-01-20 18:34:00,1707,0,7.443078374348516
littlehouseonthepasture,2023-01-20 19:10:45,202,1,5.313205979041787
thymeandtenderness,2023-01-20 20:08:55,54,0,4.007333185232471
thekinkerbelle007,2023-01-20 20:10:38,49,0,3.912023005428146
thekinkerbelle007,2023-01-20 20:15:33,16,0,2.833213344056216
thekinkerbelle007,2023-01-20 20:19:33,16,0,2.833213344056216
thekinkerbelle007,2023-01-20 21:14:36,27,0,3.332204510175204
zmeweddings,2023-01-20 23:17:16,19,0,2.995732273553991
thymeandtenderness,2023-01-20 23:17:37,232,0,5.4510384535657
locdthugga,2023-01-21 00:50:29,44,0,3.8066624897703196
littlehouseonthepasture,2023-01-21 02:21:19,779,1,6.659293919683638
thekinkerbelle007,2023-01-21 03:09:43,20,0,3.044522437723423
maman__sereine,2023-01-21 08:33:00,26,0,3.295836866004329
moe.makes.magick,2023-01-21 15:18:29,1430,0,7.266128779556451
thecortesclan,2023-01-21 16:15:34,136,0,4.919980925828125
aberrywonderfullife,2023-01-21 17:31:48,170,0,5.14166355650266
stayzontopp,2023-01-21 18:27:50,172,0,5.153291594497779
maman__sereine,2023-01-21 18:50:39,12,0,2.5649493574615367
maman__sereine,2023-01-21 18:58:46,13,0,2.6390573296152584
littlehouseonthepasture,2023-01-21 19:36:15,729,1,6.593044534142437
nikkyevent,2023-01-21 19:54:47,155,0,5.049856007249537
landladyadaogidi,2023-01-21 22:00:20,44,1,3.8066624897703196
locdthugga,2023-01-21 23:26:06,15,0,2.772588722239781
locdthugga,2023-01-22 00:52:11,21,0,3.091042453358316
thekinkerbelle007,2023-01-22 01:56:47,47,0,3.871201010907891
littlehouseonthepasture,2023-01-22 02:51:20,68,1,4.23410650459726
thecortesclan,2023-01-22 02:59:31,730,0,6.594413459749778
thecortesclan,2023-01-22 03:11:58,276,0,5.6240175061873385
thekinkerbelle007,2023-01-22 05:03:08,24,0,3.2188758248682006
myllagh,2023-01-22 14:47:23,106,0,4.672828834461906
thecortesclan,2023-01-22 19:24:01,258,0,5.556828061699537
zmeweddings,2023-01-22 19:58:46,8,0,2.1972245773362196
2bebetterpodcast,2023-01-22 20:32:48,1469,0,7.293017679772782
thymeandtenderness,2023-01-22 23:04:58,497,0,6.210600077024653
littlehouseonthepasture,2023-01-22 23:47:06,138,1,4.9344739331306915
zmeweddings,2023-01-23 02:39:39,36,0,3.6109179126442243
lifetaketwo,2023-01-23 03:07:42,541,0,6.295266001439646
locdthugga,2023-01-23 04:42:25,89,0,4.499809670330265
lifetaketwo,2023-01-23 11:41:42,461,0,6.135564891081739
landladyadaogidi,2023-01-23 11:58:23,5,0,1.791759469228055
locdthugga,2023-01-23 14:12:19,44,0,3.8066624897703196
locdthugga,2023-01-23 14:16:47,44,0,3.8066624897703196
littlehouseonthepasture,2023-01-23 14:34:36,858,1,6.755768921984255
landladyadaogidi,2023-01-23 16:09:38,14,0,2.70805020110221
maman__sereine,2023-01-23 16:21:08,28,0,3.367295829986474
maman__sereine,2023-01-23 16:31:01,32,0,3.4965075614664802
